Citigroup|C
HSBC|HSBC
Credit Suisse|CS
RBS|RBS
Calyon|CL
Threadneedle|TN
Aviva|AV
Morgan Stanley|MS
Unicredit|L
Caplin|CAP
Catlin|CLNGF
Rabobank|RBS
BNP|BNP
Wildnet|WN
QBE|QBE
Financial Times|FT
News International|NI
Abbey Santander|AS
Dresdner/Commerz|DC
JP Morgan|JPM
Lloyds of London|LL
HBOS|HBOS
Nomura|N
ING|ING
Bank of New York|BNY
Soc Gen|SG
LCH|LCH
Daiwa|DA
Rothschild|RCD
Fortis|FO
Brewin Dolphin|BD
Schroders|SC
St St Bank|SSB
Bank of Tokyo|BTO
London Stock Exchange|LSE
Bank Of America|BOA
Tullet Prebon|TP
New Edge|NE
Fitch|FH
Thomson Reuters|TR
Chubb Insurance|CI
Tri Systems|TS
WTG|WTG
E&Y|EY
Ace Europe|AE
Beazily|BY
Sun|JAVA
Therion Systems|TSHY
